Fecha,AFRICA,ANGOLA,ARGELIA,CABO VERDE,EGIPTO,GHANA,KENIA,LIBIA,MARRUECOS,NIGERIA,SOMALIA,SUDAFRICA,TUNEZ,ZAIRE,ZIMBABWE,O. AFRICA,AMERICA CENTRAL,BELICE,COSTA RICA,EL SALVADOR,GUATEMALA,HONDURAS,NICARAGUA,PANAMA,AMERICA DEL NORTE,CANADA,EEUU,MEXICO,O. AMERICA DEL NORTE,AMERICA DEL SUR,ARGENTINA,BOLIVIA,BRASIL,COLOMBIA,ECUADOR,GUYANA,PARAGUAY,PERU,SURINAME,URUGUAY,VENEZUELA,O. AMERICA DEL SUR,CARIBE,BAHAMAS,BARBADOS,CUBA,DOMINICA,GRANADA,HAITI,JAMAICA,PUERTO RICO,REPUBLICA DOMINICANA,SAN VICENTE,SANTA LUCIA,TRINIDAD Y TOBAGO,O. CARIBE,ASIA,AFGANISTAN,BANGLADESH,BHUTAN,BRUNEI,CAMBOYA,CHINA,COREA DEL NORTE,COREA DEL SUR,FILIPINAS,INDIA,INDONESIA,JAPON,KASAJSTAN,KIRGUIZTAN,LAOS,MALASIA,MALDIVAS,MAYNMAR,MONGOLIA,NEPAL,PAKISTAN,SINGAPUR,SRI LANKA,TADJIKISTAN,TAILANDIA,TAIWAN,TURKMENISTAN,UZBEKISTAN,VIETNAM,O. ASIA,EUROPA,ALBANIA,ALEMANIA,ANDORRA,ARMENIA,AUSTRIA,AZERBAIJAN,BELGICA,BIELORRUSIA,BOSNIA-HERZEGOVINA,BULGARIA,CHIPRE,CIUDAD DEL VATICANO,CROACIA,DINAMARCA,ESCOCIA,ESLOVAQUIA,ESLOVENIA,ESPAÑA,ESTONIA,FEDERACION RUSA,FINLANDIA,FRANCIA,GALES,GEORGIA,GRECIA,HOLANDA,HUNGRIA,INGLATERRA,IRLANDA,ISLANDIA,ITALIA,LETONIA,LIECHTENSTEIN,LITUANIA,LUXEMBURGO,MACEDONIA,MALTA,MOLDAVIA,MONACO,NORUEGA,POLONIA,PORTUGAL,RUMANIA,SAN MARINO,SERBIA,SUECIA,SUIZA,TURQUIA,UCRANIA,O. EUROPA,MEDIO ORIENTE,ARABIA SAUDITA,BAHREIN,EMIRATOS ARABES,IRAK,IRAN,ISRAEL,JORDANIA,KUWAIT,LIBANO,OMAN,QATAR,SIRIA,YEMEN,O. MEDIO ORIENTE,OCEANIA,AUSTRALIA,NUEVA ZELANDIA,SAMOA,TUVALU,O. OCEANIA,O. MUNDO,CHILE,TOTAL
2008-01-01,390,30,11,0,4,5,4,0,10,2,0,281,1,0,4,38,1364,2,491,213,153,97,59,349,31181,5161,22807,3207,6,273559,170168,32776,31717,5682,1849,3,2873,24048,4,2699,1739,1,402,1,8,141,5,2,20,19,11,185,2,2,4,2,4370,2,0,1,0,0,512,232,1401,161,153,43,1599,0,0,0,51,0,4,5,2,17,41,10,0,17,78,0,1,5,35,52478,26,9976,4,1,1070,0,1284,0,7,73,6,0,99,1062,13,104,182,6806,42,320,384,6983,1,0,203,2859,181,6267,672,43,4547,74,6,56,36,1,20,4,0,1519,532,476,140,6,45,2520,2832,222,74,700,4915,0,0,1,0,6,4878,6,0,10,4,0,7,0,3,4639,3789,847,0,0,3,9,15086,373298
2008-02-01,553,2,205,0,6,2,11,0,9,0,0,262,4,0,2,50,1116,17,343,139,181,91,63,282,29113,5107,21521,2478,7,177210,101462,23923,17528,2949,1969,6,2055,24265,1,1878,1174,0,392,8,7,124,6,1,20,10,0,186,3,2,23,2,4211,3,4,0,1,0,458,108,876,227,226,120,1732,7,0,0,52,0,1,6,3,20,35,4,0,50,218,0,0,1,59,46898,2,9472,15,1,1042,0,1113,0,0,65,11,0,51,867,9,77,108,5501,35,210,356,7487,1,0,189,2428,122,6912,568,42,2965,45,3,38,40,1,24,5,0,961,758,513,99,2,14,1545,2263,206,99,633,4338,2,0,1,1,4,4293,8,1,18,1,0,3,0,6,3866,3246,619,0,0,1,34,22448,267697
2008-03-01,405,10,2,0,19,2,10,0,16,3,0,317,0,0,2,24,1200,4,425,134,162,120,54,301,29149,4468,21099,3571,11,163780,88521,24228,14483,4306,2607,3,1904,22911,2,3121,1693,1,582,7,6,136,1,0,54,13,6,314,2,1,29,13,4089,3,3,0,4,0,641,25,888,139,275,31,1657,4,0,0,76,1,0,13,0,17,71,0,0,28,171,0,0,10,32,39998,6,7116,2,0,665,0,946,0,3,34,3,2,47,693,12,63,59,6343,42,450,323,5442,0,0,208,1813,148,6451,731,67,2470,48,3,39,31,6,3,0,3,754,481,571,58,4,69,1158,1894,106,83,548,3517,3,0,9,0,8,3486,3,0,4,0,2,2,0,0,4608,3668,937,0,1,2,10,13657,247328
2008-04-01,475,1,2,0,5,1,2,0,36,0,0,329,11,0,2,86,873,3,285,120,123,63,56,223,17911,2761,12658,2489,3,118862,49537,22824,15560,3134,1661,4,1987,20616,5,2158,1374,2,440,3,1,115,0,0,37,46,4,213,0,0,18,3,3290,0,0,0,2,0,700,35,748,117,310,32,1033,2,1,0,69,0,0,1,0,14,53,2,0,23,118,0,0,3,27,23534,1,2948,9,2,340,1,436,0,0,22,10,1,30,315,3,78,21,3943,11,239,232,3874,1,32,126,1092,49,4141,541,18,1685,10,8,35,9,2,2,4,0,250,244,491,142,2,22,584,1002,98,42,386,1202,0,0,0,0,7,1173,6,1,10,2,0,3,0,0,4200,3386,812,0,0,2,5,9170,170787
2008-05-01,287,5,0,0,7,1,1,0,7,3,0,222,4,0,2,35,751,7,246,86,138,54,41,179,10601,1414,7461,1726,0,100027,36797,22649,14707,2350,1436,1,1283,18429,3,1570,800,2,344,5,0,109,1,1,35,9,0,168,0,1,8,7,2091,1,1,0,0,0,483,42,516,44,157,21,580,1,0,0,74,0,5,1,2,27,21,5,0,26,72,0,2,0,10,14948,1,1832,4,0,219,0,292,0,1,17,5,0,26,171,12,29,18,2425,3,169,118,2493,2,0,59,621,73,2798,393,4,1118,27,1,22,6,0,6,1,0,158,255,224,27,0,18,343,561,89,22,285,307,1,0,0,0,3,288,3,0,6,0,0,3,0,3,2872,2274,598,0,0,0,3,9682,132228
2008-06-01,284,4,2,0,3,1,6,0,15,4,0,211,3,0,2,33,1019,2,249,136,215,113,37,267,12067,1160,8707,2200,0,99735,31380,26070,17072,3215,1386,3,1743,16023,3,1823,1015,2,301,0,2,93,1,2,19,15,9,143,3,3,6,5,2140,0,1,0,1,1,417,26,452,47,159,16,866,5,0,0,24,0,5,0,3,32,17,2,0,8,39,0,0,1,18,14362,2,1764,3,3,194,0,276,0,2,14,4,0,26,160,4,23,35,2649,4,129,158,2406,0,0,60,527,22,2558,413,17,1019,3,1,11,6,0,2,1,0,264,149,207,41,1,9,487,427,47,23,211,296,0,0,0,2,2,274,7,0,6,0,2,3,0,0,2677,2033,635,0,1,8,6,7629,132881
2008-07-01,362,7,0,0,12,1,7,0,13,3,0,276,6,0,2,35,829,8,244,121,113,65,60,218,13819,1593,9156,3068,2,150358,49141,29540,40476,3470,1660,0,2003,20293,2,2348,1421,4,387,23,2,90,0,1,19,8,0,216,2,4,15,7,2221,3,2,0,0,0,447,53,519,43,156,27,808,0,0,0,22,0,0,8,3,20,43,4,0,6,43,0,0,4,10,21727,7,2787,6,0,312,2,626,0,0,20,3,0,23,240,3,50,53,4068,12,124,125,4198,0,0,77,1052,42,3337,577,20,1522,6,5,52,26,0,4,3,8,229,158,272,44,0,7,470,707,45,37,368,294,0,4,2,1,7,252,6,1,12,0,0,5,4,0,2530,1912,617,0,0,1,1,10052,192527
2008-08-01,362,2,2,0,9,1,7,0,14,6,0,253,1,0,4,63,908,1,287,128,135,55,50,252,13997,1987,9587,2423,0,122720,42142,22847,25643,3001,1953,0,1998,20404,6,1946,2778,2,426,8,8,123,2,0,49,24,2,170,0,2,32,6,2291,4,5,0,0,0,445,16,539,55,210,37,796,5,0,0,32,0,1,5,1,17,28,2,0,28,46,0,0,3,16,23968,7,2901,10,2,330,1,411,0,0,23,0,0,39,205,4,36,97,5155,3,176,179,4398,2,1,260,689,48,3392,504,12,2818,10,2,25,36,1,4,1,0,131,273,299,50,8,10,406,604,32,38,335,347,1,2,3,1,8,308,5,2,9,2,1,2,0,3,3115,2349,744,0,0,22,11,8567,168134
2008-09-01,286,14,2,1,3,1,5,0,7,6,0,224,0,0,1,22,1229,4,365,169,208,90,67,326,12860,1735,8869,2255,1,130784,51472,23391,23631,3475,2012,1,2250,19570,2,2628,2351,1,393,5,3,94,1,1,17,10,4,232,5,1,16,4,2340,5,0,0,0,0,417,29,422,108,205,25,960,1,0,0,30,0,4,0,4,16,31,2,0,28,36,0,3,4,10,19584,0,3124,4,1,279,0,395,0,0,34,1,1,26,230,4,43,52,3854,2,97,193,3129,0,3,61,863,38,2617,456,19,1383,8,0,12,13,1,2,1,1,291,167,289,126,0,12,614,750,52,40,296,552,1,0,1,0,3,523,6,0,14,0,0,2,1,1,4080,3243,824,6,0,7,8,11376,172108
2008-10-01,392,5,6,0,9,3,6,0,10,3,0,294,2,0,5,49,1499,6,469,279,265,91,70,319,16995,3342,10939,2712,2,140570,64709,24652,18309,4047,2191,2,1881,20530,5,2450,1794,0,566,10,9,111,0,1,39,15,3,368,1,2,6,1,2514,7,6,0,1,1,395,37,552,56,171,91,899,20,1,0,83,0,0,1,2,11,52,3,0,18,53,0,0,34,20,28242,0,4483,4,2,474,1,614,0,4,27,7,0,77,452,3,69,105,4798,19,109,282,4628,2,2,46,1812,181,3619,578,21,2088,15,10,19,11,0,7,3,0,394,294,312,43,0,40,719,1222,108,56,482,1889,1,0,3,1,6,1835,37,1,1,0,0,2,0,2,4040,3212,813,0,0,15,6,9507,196707
