Fecha,01. XV - ARICA Y PARINACOTA,Chacalluta - Aeropuerto,Concordia (Chacalluta),Chungará,FF.CC. Arica - Tacna,Visviri,02. I - TARAPACÁ,Aeropuerto Diego Aracena,Apacheta de Irpa,Colchane,03. II - ANTOFAGASTA,Aeródromo El Loa,Aeropuerto Cerro Moreno,FF.CC Ollague,Jama,Salar de Ollagüe,Hito Cajón,Socompa,Sico,04. III - ATACAMA,Aeródromo Chamonate,Pascua Lama,Pircas Negras,San Francisco,05. IV - COQUIMBO,Aeropuerto La Florida,Juntas del Toro,06. V - VALPARAÍSO,Aeródromo Torquemada - Viña del Mar,Aeropuerto Isla de Pascua,Sistema Cristo Redentor (Los Libertadores),07. VII - MAULE,Pehuenche,Vergara,08. VIII - BÍO - BÍO,Aeropuerto Carriel Sur,Copahue,Pichachén,09. IX - ARAUCANÍA,Aeródromo Pucón,Aeropuerto Maquehue,Icalma,Pino Hachado,Puesco (Mamuil Malal),10. XIV - LOS RÍOS,Aeropuerto Pichoy,Carirriñe,Hua Hum,11. X - LOS LAGOS,Aeropuerto El Tepual,Cardenal Antonio Samoré,Futaleufú,Pérez Rosales (Peulla),Río Encuentro,Río Manso,Río Puelo,Vuriloche,12. XI - AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,Aeropuerto Balmaceda,Coyhaique,Hito O-IV-B,Huemules,Ingeniero Ibáñez Palavicini,Las Pampas - Lago Verde,Pampa Alta,Río Fría Appeleg,Rio Jeinimeni,Río Mayer,Río Mosco,Roballos,Triana,13. XII - MAGALLANES Y LA ANTARTICA CHILENA,Aeropuerto Punta Arenas,Dorotea,Integración Austral (Monte Aymond),Laurita Casas Viejas,Río Bellavista,Río Don Guillermo,San Sebastián,14. RM - METROPOLITANA DE SANTIAGO,Aeropuerto C. Arturo Merino Benítez,Portillo de Piuquenes,"(1) Por condiciones de conectividad y habitabilidad en el paso SICO, las labores de control y fiscalización (ingreso y salida del país), desde el año 2021, se realizan en el CF San Pedro de Atacama. Para efectos de contabilización, se considera Sico - San Pedro de Atacama, como un solo punto de control migratorio.",TOTAL
2008-01-01,41966,163,22929,18541,175,158,14336,2446,15,11875,12026,117,21,0,9556,456,1874,0,2,756,0,0,41,715,5307,26,5281,98769,0,1582,97187,545,545,0,166,0,0,166,15600,0,0,1954,7472,6174,1636,0,350,1286,33486,274,23911,5066,3162,725,182,100,66,9035,23,1141,87,485,557,42,86,8,5892,2,0,188,524,43277,2350,12201,12820,1543,82,6053,8228,111488,111488,0,NA,776786
2008-02-01,34980,248,21140,12755,701,136,11663,1453,9,10201,7692,0,6,0,5733,481,1429,0,43,332,0,0,6,326,1579,15,1564,54794,12,1397,53385,465,465,0,130,0,0,130,11849,0,0,1383,5309,5157,1538,0,475,1063,26393,202,19552,3685,2223,494,94,143,0,6174,12,1043,87,533,253,51,53,8,3713,1,0,142,278,36878,1527,10726,11694,1299,131,5833,5668,95712,95712,0,NA,580358
2008-03-01,31746,138,19151,12124,143,190,12381,1858,3,10520,6150,0,30,0,4320,379,1414,0,7,256,0,0,0,256,791,8,783,46560,0,1516,45044,337,337,0,317,253,0,64,9220,0,11,1112,4078,4019,598,0,101,497,20609,29,15420,2800,1630,497,135,98,0,6221,0,982,74,516,503,47,69,20,3467,0,0,118,425,30019,902,10342,8853,1251,98,3918,4655,95790,95790,0,NA,521990
2008-04-01,28035,234,16410,11085,133,173,12200,1528,10,10662,5548,0,10,0,4010,365,1158,0,5,89,16,8,0,65,180,16,164,23462,0,937,22525,34,34,0,5,0,0,5,4171,0,1,303,1977,1890,184,0,22,162,10305,0,8669,1039,265,224,56,52,0,2556,0,302,1,179,186,16,30,9,1654,5,0,19,155,16150,275,5831,6073,784,18,941,2228,77043,77043,0,NA,359924
2008-05-01,26904,218,15606,10798,107,175,11937,1419,4,10514,4790,0,107,0,3059,513,1104,0,7,38,0,0,0,38,32,7,25,15702,0,1261,14441,0,0,0,73,73,0,0,3543,0,0,274,1910,1359,109,0,22,87,6570,52,5827,525,4,119,26,17,0,1797,0,224,0,116,75,8,25,0,1294,2,0,9,44,13152,321,5361,4889,927,0,191,1463,57266,57266,0,NA,283826
2008-06-01,26623,376,12665,13305,96,181,12523,1392,3,11128,4836,0,3,0,3187,637,969,0,40,14,6,0,0,8,3,3,0,11502,0,1156,10346,0,0,0,210,210,0,0,2187,0,2,98,1177,910,66,0,0,66,4995,0,4396,414,0,146,23,16,0,1388,0,138,0,96,79,4,2,0,1019,2,0,2,46,10478,281,4429,3846,790,0,71,1061,65691,65691,0,NA,281032
2008-07-01,32969,273,17776,14500,222,198,15124,1487,2,13635,7652,1,19,2,4975,608,1972,0,75,61,0,0,0,61,32,32,0,19226,0,1096,18130,0,0,0,42,42,0,0,3939,0,0,140,2234,1565,112,0,0,112,9221,0,8202,798,0,189,16,16,0,2160,0,270,0,157,113,4,3,2,1578,2,0,0,31,17357,186,6558,6941,1289,0,116,2267,94685,94685,0,NA,405160
2008-08-01,30103,340,17580,11772,261,150,11930,1981,5,9944,7953,5,0,0,4692,571,2682,0,3,61,0,0,0,61,0,0,0,13496,1,976,12519,0,0,0,0,0,0,0,2487,0,0,131,1195,1161,87,0,0,87,6306,4,5538,626,0,117,8,13,0,1972,2,100,0,194,114,0,0,5,1507,1,0,21,28,17003,279,6622,5736,1140,0,241,2985,85314,85314,0,NA,353424
2008-09-01,27857,222,16425,10882,188,140,12921,1696,3,11222,6419,0,22,0,4491,433,1372,0,101,77,0,0,0,77,0,0,0,23093,0,1137,21956,0,0,0,108,108,0,0,4173,0,11,215,2345,1602,110,0,0,110,9755,2,8718,681,76,223,25,30,0,2591,0,394,0,297,136,5,7,0,1625,1,6,11,109,17850,260,6385,7489,1088,0,661,1967,78538,78538,0,NA,366984
2008-10-01,29521,399,17241,11618,82,181,13559,1852,1,11706,6708,0,13,0,4214,533,1932,0,16,137,0,0,0,137,1,1,0,33030,4,1382,31644,0,0,0,0,0,0,0,5128,0,0,472,2329,2327,119,0,0,119,12961,0,10491,1146,1035,240,25,24,0,3163,0,426,0,280,262,5,25,0,1910,1,14,14,226,24890,281,8574,9703,1619,0,2273,2440,77003,77003,0,NA,412440
2008-11-01,28681,482,15619,12296,165,119,11488,1902,3,9583,6142,0,15,0,3271,455,2392,0,9,279,0,0,0,279,15,15,0,31084,0,1215,29869,0,0,0,4,4,0,0,4595,0,1,344,1884,2366,223,0,0,223,17214,12,13198,1436,1917,466,110,75,0,3350,7,368,36,187,87,4,14,2,2314,2,8,83,238,31885,963,8117,10369,1442,0,7236,3758,94829,94829,0,NA,459578
2008-12-01,38102,203,19944,17657,153,145,13399,1496,3,11900,8100,0,0,29,5054,960,2044,0,13,195,0,0,0,195,2259,7,2252,56639,1,1323,55315,108,108,0,56,0,0,56,11584,0,0,1179,5011,5394,293,0,0,293,25736,11,20609,2639,1702,482,186,107,0,6047,0,748,66,612,404,14,60,6,3699,1,15,94,328,43526,1558,13074,14932,2938,1,5474,5549,103229,103229,0,NA,618546
2009-01-01,43069,268,25385,17100,178,138,13933,1976,5,11952,15380,0,1,72,12075,866,2278,0,88,1325,0,0,56,1269,8714,19,8695,121802,464,1847,119491,939,939,0,191,0,0,191,21682,0,20,2995,9547,9120,1986,0,529,1457,45338,39,37195,4474,1963,1122,349,196,0,10578,0,1172,140,707,533,40,79,23,7125,8,9,269,473,45424,1768,12634,13743,2261,36,7290,7692,102211,102211,0,NA,865144
2009-02-01,36825,244,23911,12414,149,107,10652,1683,2,8967,9257,6,13,9,6907,566,1330,0,426,443,0,0,46,397,3048,4,3044,63187,3,2379,60805,890,832,58,297,0,0,297,17195,0,0,2271,6837,8087,1332,0,291,1041,33217,26,27984,2999,1544,173,349,142,0,7740,0,1365,162,848,132,73,62,18,4498,0,2,221,359,36631,1385,10462,12796,1648,108,5305,4927,83813,83813,0,NA,609054
2009-03-01,34174,286,22275,11337,164,112,12673,1749,4,10920,6397,0,0,32,4156,795,1399,0,15,229,0,0,0,229,605,0,605,36578,119,1675,34784,310,193,117,149,0,0,149,7017,0,0,948,3203,2866,592,0,227,365,19885,20,16886,1534,1004,288,87,66,0,4720,0,449,103,407,184,42,37,7,3183,3,0,108,197,27012,765,9076,8731,1394,53,3397,3596,85940,85940,0,NA,472562
2009-04-01,29117,236,17720,10913,124,124,11747,1587,1,10159,6549,7,0,13,4605,515,1374,1,34,309,0,0,0,309,1001,0,1001,38783,0,1430,37353,192,0,192,0,0,0,0,10221,0,8,1527,4378,4308,317,0,92,225,18829,1,16008,1630,640,401,106,43,0,5189,0,948,14,567,301,11,50,6,2745,1,3,47,496,19201,315,7885,6659,1287,33,1005,2017,74414,74414,0,NA,431738
2009-05-01,27181,226,16370,10378,87,120,11297,1329,0,9968,5784,0,9,0,3861,594,1320,0,0,109,1,0,0,108,54,0,54,20963,0,962,20001,0,0,0,56,56,0,0,5059,0,0,531,2519,2009,168,0,20,148,10217,12,8566,975,202,351,77,34,0,3026,0,368,0,243,234,9,41,11,1936,1,0,28,155,12947,185,5415,4935,1157,0,247,1008,60965,60965,0,NA,315652
2009-06-01,28261,420,16074,11539,68,160,12219,1162,4,11053,5552,0,27,0,3442,898,1141,0,44,41,0,0,0,41,0,0,0,10863,0,1090,9773,0,0,0,0,0,0,0,2600,0,0,198,1512,890,29,0,0,29,5568,0,4160,915,210,232,27,24,0,1966,0,129,0,129,153,4,19,4,1456,1,0,6,65,7861,231,3269,3015,727,0,88,531,64920,64920,0,NA,279760
2009-07-01,32444,561,18748,12839,123,173,14301,2954,1,11346,7644,8,6,0,4981,972,1677,0,0,51,0,0,0,51,1,1,0,17066,0,1077,15989,0,0,0,4,4,0,0,4308,0,0,431,2150,1727,98,0,0,98,9438,0,7132,1748,254,262,26,16,0,2488,0,254,0,158,171,2,3,0,1778,0,0,5,117,11433,145,4949,4542,799,0,101,897,71882,71882,0,NA,342316
2009-08-01,31138,464,18762,11674,111,127,12208,2885,8,9315,7895,0,0,0,4601,634,2660,0,0,38,0,0,0,38,0,0,0,13150,1,1002,12147,0,0,0,0,0,0,0,2913,0,0,188,1418,1307,77,0,0,77,7063,2,5540,1124,156,215,5,21,0,2300,0,233,0,170,146,1,6,0,1640,20,2,2,80,15740,252,6219,5787,1014,0,181,2287,68364,68364,0,NA,321772
