Fecha,Pronostico,li_95,ls_95
2019-01-01,347023.6291736854,NA,NA
2019-02-01,347370.99999984744,NA,NA
2019-03-01,382789,NA,NA
2019-04-01,266510,NA,NA
2019-05-01,254134,NA,NA
2019-06-01,272688,NA,NA
2019-07-01,226325,NA,NA
2019-08-01,297675,NA,NA
2019-09-01,250123,NA,NA
2019-10-01,298629,NA,NA
2019-11-01,257766,NA,NA
2019-12-01,225645,NA,NA
2020-01-01,266322,NA,NA
2020-02-01,347178,NA,NA
2020-03-01,385521,NA,NA
2020-04-01,122970,NA,NA
2020-05-01,1263,NA,NA
2020-06-01,1986,NA,NA
2020-07-01,2944,NA,NA
2020-08-01,4778,NA,NA
2020-09-01,6873,NA,NA
2020-10-01,10478,NA,NA
2020-11-01,16383,NA,NA
2020-12-01,24998,NA,NA
2021-01-01,38051,NA,NA
2021-02-01,48453,NA,NA
2021-03-01,43416,NA,NA
2021-04-01,34555,NA,NA
2021-05-01,8117,NA,NA
2021-06-01,7526,NA,NA
2021-07-01,12606,NA,NA
2021-08-01,20397,NA,NA
2021-09-01,40987,NA,NA
2021-10-01,49805,NA,NA
2021-11-01,63987,NA,NA
2021-12-01,85020,NA,NA
2022-01-01,99010,NA,NA
2022-02-01,125822,NA,NA
2022-03-01,122329,NA,NA
2022-04-01,114798,NA,NA
2022-05-01,116332,NA,NA
2022-06-01,176293,NA,NA
2022-07-01,169239,NA,NA
2022-08-01,208610,NA,NA
2022-09-01,178029,NA,NA
2022-10-01,215896,NA,NA
2022-11-01,255153,NA,NA
2022-12-01,216775,NA,NA
2023-01-01,255403,NA,NA
2023-02-01,315246,NA,NA
2023-03-01,412647,NA,NA
2023-04-01,265817,NA,NA
2023-05-01,287054,NA,NA
2023-06-01,292837,NA,NA
2023-07-01,276730,NA,NA
2023-08-01,314733,NA,NA
2023-09-01,264047,NA,NA
2023-10-01,318962,NA,NA
2023-11-01,347143,NA,NA
2023-12-01,308582,NA,NA
2024-01-01,353885,NA,NA
2024-02-01,416986,NA,NA
2024-03-01,487261,NA,NA
2024-04-01,284588,NA,NA
2024-05-01,245027,NA,NA
2024-06-01,245525,NA,NA
2024-07-01,266779,NA,NA
2024-08-01,262311,NA,NA
2024-09-01,253957,NA,NA
2024-10-01,312628,NA,NA
2024-11-01,311521,NA,NA
2024-12-01,277092,NA,NA
2025-01-01,317062,NA,NA
2025-02-01,383494,NA,NA
2025-03-01,421815,NA,NA
2025-04-01,252091,NA,NA
2025-05-01,248443,NA,NA
2025-06-01,266726,NA,NA
2025-07-01,242826,NA,NA
2025-08-01,247543,NA,NA
2025-09-01,240259,NA,NA
2025-10-01,289463,NA,NA
2025-11-01,279866,NA,NA
2025-12-01,244534,NA,NA
2026-01-01,322261,NA,NA
2026-02-01,390941,NA,NA
2026-03-01,451540,NA,NA
2026-04-01,277917,156908.22215106327,398925.77784893673
2026-05-01,277917,106784.74519984069,449049.2548001593
2026-06-01,277917,68323.64860382627,487510.3513961737
2026-07-01,277917,35899.44430212653,519934.55569787347
2026-08-01,277917,7333.146855606639,548500.8531443933
2026-09-01,277917,-18492.76012769877,574326.7601276988
