Fecha,Cantidad,Tendencia,Estacional,Residuo,arima_Pronostico,arima_li,arima_ls,sarimax_Pronostico,sarimax_li,sarimax_ls
2019-01-01,347371,296622.8602301324,62488.95569923965,-11740.815929372038,347023.6291736854,NA,NA,347023.6300947656,NA,NA
2019-02-01,382789,293522.65453076456,141019.63817153007,-51753.292702294624,347370.99999984744,NA,NA,382406.21414122,NA,NA
2019-03-01,266510,290422.44883139664,-26270.43746589042,2357.988634493784,382789,NA,NA,266243.4946727939,NA,NA
2019-04-01,254134,286642.94559526024,-38586.466701397774,6077.521106137545,266510,NA,NA,253879.87164435876,NA,NA
2019-05-01,272688,282863.4423591239,-21541.19161747905,11365.74925835512,254134,NA,NA,272415.3185007009,NA,NA
2019-06-01,226325,278334.64152534923,-43289.299996267175,-8720.341529082041,272688,NA,NA,226098.68212961504,NA,NA
2019-07-01,297675,273805.8406915746,-25219.353272157947,49088.51258058334,226325,NA,NA,297377.3327397469,NA,NA
2019-08-01,250123,268025.85228954884,-40631.747756234356,22728.895466685528,297675,NA,NA,249872.88527914617,NA,NA
2019-09-01,298629,262245.8638875231,-5100.480423206619,41483.61653568351,250123,NA,NA,298330.3797180334,NA,NA
2019-10-01,257766,250331.77285504655,1132.059314796163,6302.167830157268,298629,NA,NA,257508.24304497655,NA,NA
2019-11-01,225645,238417.68182257,-20429.219281986818,7656.53745941681,257766,NA,NA,225419.36404069792,NA,NA
2019-12-01,266322,216867.25890824245,16427.54153198194,33027.19955977562,225645,NA,NA,266055.6869867579,NA,NA
2020-01-01,347178,195316.8359939149,62488.95569923965,89372.20830684551,266322,NA,NA,347258.1059881996,NA,NA
2020-02-01,385521,173430.7690165731,141019.63817153007,71070.59281189684,347178,NA,NA,383050.6291793926,NA,NA
2020-03-01,122970,151544.70203923128,-26270.43746589042,-2304.264573340857,385521,NA,NA,153448.08322930086,NA,NA
2020-04-01,1263,131108.89005835186,-38586.466701397774,-91259.42335695408,122970,NA,NA,97177.6625303051,NA,NA
2020-05-01,1986,110673.07807747246,-21541.19161747905,-87145.8864599934,1263,NA,NA,29396.39640754657,NA,NA
2020-06-01,2944,89666.76773157768,-43289.299996267175,-43433.46773531051,1986,NA,NA,-23520.925658805776,NA,NA
2020-07-01,4778,68660.45738568292,-25219.353272157947,-38663.104113524976,2944,NA,NA,73851.51165793407,NA,NA
2020-08-01,6873,54542.833843747234,-40631.747756234356,-7038.086087512878,4778,NA,NA,-19425.971146262174,NA,NA
2020-09-01,10478,40425.210301811545,-5100.480423206619,-24846.729878604925,6873,NA,NA,60593.086350457634,NA,NA
2020-10-01,16383,36439.83480601105,1132.059314796163,-21188.894120807217,10478,NA,NA,33883.66964259522,NA,NA
2020-11-01,24998,32454.45931021056,-20429.219281986818,12972.759971776251,16383,NA,NA,6649.076719831894,NA,NA
2020-12-01,38051,33808.360173715184,16427.54153198194,-12184.901705697124,24998,NA,NA,74699.66324534529,NA,NA
2021-01-01,48453,35162.2610372198,62488.95569923965,-49198.21673645945,38051,NA,NA,124849.61633422638,NA,NA
2021-02-01,43416,37674.92889378738,141019.63817153007,-135278.56706531745,48453,NA,NA,102246.5386785111,NA,NA
2021-03-01,34555,40187.59675035495,-26270.43746589042,20637.840715535473,43416,NA,NA,-58735.10902263119,NA,NA
2021-04-01,8117,44193.84033500064,-38586.466701397774,2509.626366397133,34555,NA,NA,-47150.70376275587,NA,NA
2021-05-01,7526,48200.083919646335,-21541.19161747905,-19132.89230216729,8117,NA,NA,17640.562943446515,NA,NA
2021-06-01,12606,53173.23078666136,-43289.299996267175,2722.069209605819,7526,NA,NA,10944.632731231894,NA,NA
2021-07-01,20397,58146.37765367638,-25219.353272157947,-12530.024381518437,12606,NA,NA,30284.455640631513,NA,NA
2021-08-01,40987,65019.61954980272,-40631.747756234356,16599.128206431633,20397,NA,NA,26593.36000496318,NA,NA
2021-09-01,49805,71892.86144592907,-5100.480423206619,-16987.381022722453,40987,NA,NA,55986.58633019245,NA,NA
2021-10-01,63987,82570.20136925776,1132.059314796163,-19715.260684053923,49805,NA,NA,20626.869892134535,NA,NA
2021-11-01,85020,93247.54129258648,-20429.219281986818,12201.677989400356,63987,NA,NA,69203.0244040239,NA,NA
2021-12-01,99010,106667.73653119797,16427.54153198194,-24085.27806317991,85020,NA,NA,99409.57835813636,NA,NA
2022-01-01,125822,120087.93176980948,62488.95569923965,-56754.887469049114,99010,NA,NA,118135.85667712773,NA,NA
2022-02-01,122329,134036.71717045657,141019.63817153007,-152727.35534198664,125822,NA,NA,125515.55014127724,NA,NA
2022-03-01,114798,147985.5025711037,-26270.43746589042,-6917.06510521326,122329,NA,NA,100060.85373043062,NA,NA
2022-04-01,116332,162150.07257123193,-38586.466701397774,-7231.605869834137,114798,NA,NA,121296.89511959528,NA,NA
2022-05-01,176293,176314.64257136016,-21541.19161747905,21519.54904611889,116332,NA,NA,122574.02670356238,NA,NA
2022-06-01,169239,189891.40574660824,-43289.299996267175,22636.894249658973,176293,NA,NA,148640.36609002255,NA,NA
2022-07-01,208610,203468.1689218563,-25219.353272157947,30361.184350301657,169239,NA,NA,202583.69869678916,NA,NA
2022-08-01,178029,215125.7744288447,-40631.747756234356,3534.9733273896563,208610,NA,NA,191300.0230456515,NA,NA
2022-09-01,215896,226783.37993583313,-5100.480423206619,-5786.899512626522,178029,NA,NA,202350.28270296977,NA,NA
2022-10-01,255153,237434.34532075145,1132.059314796163,16586.595364452398,215896,NA,NA,273742.3793115467,NA,NA
2022-11-01,216775,248085.31070566972,-20429.219281986818,-10881.091423682898,255153,NA,NA,248089.56133811263,NA,NA
2022-12-01,255403,257858.7025374017,16427.54153198194,-18883.244069383625,216775,NA,NA,243643.05524330377,NA,NA
2023-01-01,315246,267632.0943691337,62488.95569923965,-14875.050068373355,255403,NA,NA,312814.0158234993,NA,NA
2023-02-01,412647,276535.78666172345,141019.63817153007,-4908.42483325355,315246,NA,NA,331515.13007452374,NA,NA
2023-03-01,265817,285439.4789543132,-26270.43746589042,6647.958511577221,412647,NA,NA,321305.0151023192,NA,NA
2023-04-01,287054,293793.725813582,-38586.466701397774,31846.740887815773,265817,NA,NA,209175.1262239234,NA,NA
2023-05-01,292837,302147.9726728508,-21541.19161747905,12230.2189446282,287054,NA,NA,324343.62524029624,NA,NA
2023-06-01,276730,309655.6002965734,-43289.299996267175,10363.699699693769,292837,NA,NA,279535.6000595936,NA,NA
2023-07-01,314733,317163.227920296,-25219.353272157947,22789.125351861938,276730,NA,NA,300779.1000135386,NA,NA
2023-08-01,264047,321652.1561609072,-40631.747756234356,-16973.40840467281,314733,NA,NA,278741.1050167442,NA,NA
2023-09-01,318962,326141.08440151834,-5100.480423206619,-2078.603978311701,264047,NA,NA,288772.021592029,NA,NA
2023-10-01,347143,326154.20091077115,1132.059314796163,19856.739774432674,318962,NA,NA,268017.2286749849,NA,NA
2023-11-01,308582,326167.31742002396,-20429.219281986818,2843.9018619628623,347143,NA,NA,300660.89396542835,NA,NA
2023-12-01,353885,323696.1830317891,16427.54153198194,13761.275436228956,308582,NA,NA,328176.9061908077,NA,NA
2024-01-01,416986,321225.0486435542,62488.95569923965,33271.995657206164,353885,NA,NA,383814.8357344401,NA,NA
2024-02-01,487261,318606.67020842317,141019.63817153007,27634.69162004674,416986,NA,NA,476219.1473548498,NA,NA
2024-03-01,284588,315988.2917732921,-26270.43746589042,-5129.8543074016925,487261,NA,NA,352686.4657723554,NA,NA
2024-04-01,245027,313198.77211705706,-38586.466701397774,-29585.30541565927,284588,NA,NA,279697.9355115312,NA,NA
2024-05-01,245525,310409.252460822,-21541.19161747905,-43343.06084334297,245027,NA,NA,227434.86966804444,NA,NA
2024-06-01,266779,307417.7421552505,-43289.299996267175,2650.557841016678,245525,NA,NA,232553.76880598243,NA,NA
2024-07-01,262311,304426.231849679,-25219.353272157947,-16895.87857752107,266779,NA,NA,281029.1388222357,NA,NA
2024-08-01,253957,302174.2572862877,-40631.747756234356,-7585.509530053358,262311,NA,NA,236813.2188164763,NA,NA
2024-09-01,312628,299922.2827228964,-5100.480423206619,17806.197700310266,253957,NA,NA,284036.3776775289,NA,NA
2024-10-01,311521,298923.7270157834,1132.059314796163,11465.213669420396,312628,NA,NA,340528.3758100292,NA,NA
