Pais,FechaInicio,FechaFin,MesesTotales,NRutasActivas,Activo
ALEMANIA,1984-01-01,2026-03-01,505,1,TRUE
ANGOLA,1987-09-01,1993-02-01,33,0,FALSE
ANTIGUA,1989-03-01,1995-12-01,3,0,FALSE
ANTILLAS HOLANDESA,1985-01-01,2018-02-01,107,0,FALSE
ARGENTINA,1984-01-01,2026-03-01,507,14,TRUE
ARUBA,1988-04-01,2005-09-01,161,0,FALSE
AUSTRALIA,1984-07-01,2026-03-01,440,2,TRUE
BARBADOS,1990-11-01,2012-12-01,19,0,FALSE
BELGICA,1984-01-01,2026-03-01,175,1,TRUE
BELICE,2007-11-01,2007-11-01,1,0,FALSE
BOLIVIA,1984-01-01,2026-03-01,506,6,TRUE
BRASIL,1984-01-01,2026-03-01,507,17,TRUE
CABO VERDE,1989-02-01,2026-03-01,26,1,TRUE
CANADA,1984-01-01,2026-03-01,448,2,TRUE
CHINA,1984-08-01,2021-08-01,122,0,FALSE
COLOMBIA,1984-01-01,2026-03-01,507,7,TRUE
COREA DEL SUR,1993-10-01,2026-03-01,211,1,TRUE
COSTA DE MARFIL,1985-03-01,2020-10-01,55,0,FALSE
COSTA RICA,1984-06-01,2021-05-01,293,0,FALSE
CUBA,1989-12-01,2020-04-01,303,0,FALSE
DINAMARCA,1984-01-01,2019-12-01,153,0,FALSE
ECUADOR,1984-01-01,2026-03-01,507,1,TRUE
EEUU,1984-01-01,2026-03-01,507,11,TRUE
EL SALVADOR,1991-10-01,2023-02-01,168,0,FALSE
EMIRATOS ARABES,2003-01-01,2020-08-01,10,0,FALSE
ESPAÑA,1984-01-01,2026-03-01,507,4,TRUE
ETIOPIA,2020-06-01,2020-06-01,1,0,FALSE
FEDERACION RUSA,1990-07-01,1998-03-01,93,0,FALSE
FILIPINAS,1993-10-01,1998-03-01,13,0,FALSE
FRANCIA,1984-01-01,2026-03-01,506,1,TRUE
GUATEMALA,1984-06-01,2025-08-01,174,1,TRUE
GUAYANA FRANCESA,2022-07-01,2025-11-01,2,1,TRUE
GUYANA FRANCESA,2022-06-01,2022-06-01,1,0,FALSE
HAITI,1997-07-01,2022-11-01,67,0,FALSE
HOLANDA,1984-01-01,2026-03-01,507,1,TRUE
HONDURAS,1993-02-01,2010-01-01,162,0,FALSE
INDIA,1997-01-01,2020-05-01,4,0,FALSE
INGLATERRA,1984-01-01,2026-03-01,494,3,TRUE
IRLANDA DEL NORTE,1992-04-01,2003-04-01,55,0,FALSE
ISLA DE HAWAI,1985-01-01,1997-09-01,7,0,FALSE
ISLA DE TAHITI,1984-01-01,2020-03-01,435,0,FALSE
ISLA MARTINICA,1993-04-01,1993-04-01,1,0,FALSE
ISRAEL,1984-05-01,2020-03-01,30,0,FALSE
ITALIA,1984-01-01,2020-12-01,397,0,FALSE
JAMAICA,1985-08-01,2017-12-01,83,0,FALSE
JAPON,1984-01-01,2005-12-01,249,0,FALSE
LUXEMBURGO,1988-12-01,2024-08-01,325,0,FALSE
MALASIA,1994-07-01,2003-09-01,4,0,FALSE
MARRUECOS,1988-05-01,2018-11-01,4,0,FALSE
MEXICO,1984-05-01,2026-03-01,503,3,TRUE
NAMIBIA,2012-05-01,2012-05-01,1,0,FALSE
NICARAGUA,1984-06-01,2010-01-01,168,0,FALSE
NIGERIA,1986-01-01,2025-03-01,69,0,FALSE
NORUEGA,1990-08-01,2008-04-01,4,0,FALSE
NUEVA ZELANDIA,1986-07-01,2026-03-01,434,1,TRUE
PANAMA,1984-01-01,2026-03-01,504,1,TRUE
PARAGUAY,1984-01-01,2026-03-01,507,2,TRUE
PERU,1984-01-01,2026-03-01,507,7,TRUE
PORTUGAL,1984-01-01,1999-05-01,156,0,FALSE
PUERTO RICO,1984-05-01,2019-11-01,198,0,FALSE
QATAR,2016-11-01,2024-08-01,60,0,FALSE
REPUBLICA DOMINICANA,1984-09-01,2026-03-01,458,3,TRUE
SENEGAL,1990-02-01,2021-05-01,15,0,FALSE
SINGAPUR,1993-12-01,1998-07-01,19,0,FALSE
SUDAFRICA,1985-04-01,2010-06-01,54,0,FALSE
SUECIA,1992-04-01,1997-12-01,64,0,FALSE
SUIZA,1984-01-01,2021-03-01,284,0,FALSE
SURINAME,1999-09-01,1999-09-01,1,0,FALSE
TAILANDIA,1993-02-01,2020-05-01,32,0,FALSE
TAIWAN,1993-10-01,2003-11-01,75,0,FALSE
TRINIDAD Y TOBAGO,1990-03-01,2022-12-01,20,0,FALSE
TURQUIA,2004-04-01,2026-03-01,16,1,TRUE
URUGUAY,1984-01-01,2026-03-01,507,1,TRUE
VENEZUELA,1984-01-01,2025-03-01,415,0,FALSE
NA,2022-03-01,2022-04-01,2,0,FALSE
