Fecha,Aeropuerto,Pasajeros,Capacidad,LoadFactor
2008-01-01,Aeropuerto C. Arturo Merino Benítez,227888.3,278194.3,81.91695516407059
2008-01-01,Aeropuerto Diego Aracena,1861,1857.95,100.16415942302
2008-01-01,Aeropuerto El Tepual,41,47.29999999999999,86.68076109936577
2008-01-01,Aeropuerto Isla de Pascua,549,778.55,70.51570226703487
2008-01-01,Aeropuerto Punta Arenas,883,1210.6499999999999,72.93602610168092
2008-01-01,Chacalluta - Aeropuerto,137,133.60000000000002,102.5449101796407
2008-02-01,Aeropuerto C. Arturo Merino Benítez,226825.18,282383.72,80.32516180465362
2008-02-01,Aeropuerto Cerro Moreno,99,95.25,103.93700787401573
2008-02-01,Aeropuerto Diego Aracena,2061,2268.2999999999997,90.86099722258962
2008-02-01,Aeropuerto El Tepual,82,59.449999999999974,137.93103448275866
2008-02-01,Aeropuerto Isla de Pascua,723,732,98.77049180327869
2008-02-01,Aeropuerto Punta Arenas,959,992.75,96.60035255603123
2008-02-01,Chacalluta - Aeropuerto,298,281.9,105.71124512238383
2008-03-01,Aeropuerto C. Arturo Merino Benítez,209166.94,278899.75,74.99717730116288
2008-03-01,Aeropuerto Carriel Sur,0,0,NA
2008-03-01,Aeropuerto Cerro Moreno,70,96.1,72.84079084287201
2008-03-01,Aeropuerto Diego Aracena,886,1389.85,63.747886462567905
2008-03-01,Aeropuerto El Tepual,10,59.449999999999974,16.82085786375106
2008-03-01,Aeropuerto Isla de Pascua,625,685.05,91.23421648054887
2008-03-01,Aeropuerto Punta Arenas,351,990.4499999999999,35.43843707405725
2008-03-01,Chacalluta - Aeropuerto,184,280.9,65.50373798504806
2008-04-01,Aeropuerto C. Arturo Merino Benítez,162260.58,265708.69999999995,61.06709339965158
2008-04-01,Aeropuerto Cerro Moreno,87,97.19999999999999,89.50617283950618
2008-04-01,Aeropuerto Diego Aracena,650,1386.9999999999998,46.86373467916367
2008-04-01,Aeropuerto Isla de Pascua,435,685.05,63.49901467046202
2008-04-01,Aeropuerto Punta Arenas,142,215.14999999999998,66.00046479200559
2008-04-01,Chacalluta - Aeropuerto,111,275.2,40.3343023255814
2008-05-01,Aeropuerto C. Arturo Merino Benítez,162435.83,267260.3,60.77813652083754
2008-05-01,Aeropuerto Cerro Moreno,216,192.59999999999997,112.14953271028038
2008-05-01,Aeropuerto Diego Aracena,851,1522.1499999999999,55.90776204710443
2008-05-01,Aeropuerto Isla de Pascua,582,685.05,84.9573023866871
2008-05-01,Aeropuerto Punta Arenas,115,217.54999999999998,52.861411169846015
2008-05-01,Chacalluta - Aeropuerto,144,269.5,53.432282003710576
2008-06-01,Aeropuerto C. Arturo Merino Benítez,159242.54,268459.85,59.317078512857705
2008-06-01,Aeropuerto Cerro Moreno,108,189,57.14285714285714
2008-06-01,Aeropuerto Diego Aracena,724,1381.2999999999997,52.414392239194974
2008-06-01,Aeropuerto Isla de Pascua,451,685.05,65.83461061236406
2008-06-01,Aeropuerto Punta Arenas,70,223.95,31.256977003795495
2008-06-01,Chacalluta - Aeropuerto,331,321.09999999999997,103.08315166614763
2008-07-01,Aeropuerto C. Arturo Merino Benítez,179491.83,266289.45,67.40478453051745
2008-07-01,Aeropuerto Cerro Moreno,102,183.5999999999999,55.55555555555558
2008-07-01,Aeropuerto Diego Aracena,928,1378.4499999999998,67.32199209256775
2008-07-01,Aeropuerto Isla de Pascua,614,685.05,89.62849427049122
2008-07-01,Aeropuerto Punta Arenas,103,204.95,50.256160039033915
2008-07-01,Chacalluta - Aeropuerto,174,319.45,54.46861793707936
2008-08-01,Aeropuerto C. Arturo Merino Benítez,194109.81,262213.55,74.02737577825403
2008-08-01,Aeropuerto Cerro Moreno,118,181.69999999999996,64.94221243808477
2008-08-01,Aeropuerto Diego Aracena,771,1375.6,56.048269845885436
