Fecha,Direccion,Tipo,Pasajeros
1984-01-01,LLEGAN,INTERNACIONAL,23854
1984-01-01,LLEGAN,NACIONAL,27002.3
1984-01-01,SALEN,INTERNACIONAL,31281
1984-01-01,SALEN,NACIONAL,26297
1984-02-01,LLEGAN,INTERNACIONAL,24414
1984-02-01,LLEGAN,NACIONAL,24870
1984-02-01,SALEN,INTERNACIONAL,23045.12
1984-02-01,SALEN,NACIONAL,25389
1984-03-01,LLEGAN,INTERNACIONAL,23958
1984-03-01,LLEGAN,NACIONAL,24212
1984-03-01,SALEN,INTERNACIONAL,24916
1984-03-01,SALEN,NACIONAL,24846
1984-04-01,LLEGAN,INTERNACIONAL,18009
1984-04-01,LLEGAN,NACIONAL,18499.5
1984-04-01,SALEN,INTERNACIONAL,21563
1984-04-01,SALEN,NACIONAL,22956
1984-05-01,LLEGAN,INTERNACIONAL,18577
1984-05-01,LLEGAN,NACIONAL,18773
1984-05-01,SALEN,INTERNACIONAL,20801
1984-05-01,SALEN,NACIONAL,17195.53
1984-06-01,LLEGAN,INTERNACIONAL,19481
1984-06-01,LLEGAN,NACIONAL,14635.64
1984-06-01,SALEN,INTERNACIONAL,19461
1984-06-01,SALEN,NACIONAL,17987
1984-07-01,LLEGAN,INTERNACIONAL,28398
1984-07-01,LLEGAN,NACIONAL,22784.04
1984-07-01,SALEN,INTERNACIONAL,25988.65
1984-07-01,SALEN,NACIONAL,24095
1984-08-01,LLEGAN,INTERNACIONAL,25291
1984-08-01,LLEGAN,NACIONAL,22161
1984-08-01,SALEN,INTERNACIONAL,24413.06
1984-08-01,SALEN,NACIONAL,18179.5
1984-09-01,LLEGAN,INTERNACIONAL,27300
1984-09-01,LLEGAN,NACIONAL,19050
1984-09-01,SALEN,INTERNACIONAL,26622.35
1984-09-01,SALEN,NACIONAL,19677
1984-10-01,LLEGAN,INTERNACIONAL,23374
1984-10-01,LLEGAN,NACIONAL,15558.38
1984-10-01,SALEN,INTERNACIONAL,21118
1984-10-01,SALEN,NACIONAL,21510
1984-11-01,LLEGAN,INTERNACIONAL,23265
1984-11-01,LLEGAN,NACIONAL,21184
1984-11-01,SALEN,INTERNACIONAL,18607.59
1984-11-01,SALEN,NACIONAL,21475
