Fecha,Direccion,Tipo,Pasajeros
1984-01-01,LLEGAN,INTERNACIONAL,23854
1984-02-01,LLEGAN,INTERNACIONAL,24414
1984-03-01,LLEGAN,INTERNACIONAL,23958
1984-04-01,LLEGAN,INTERNACIONAL,18009
1984-05-01,LLEGAN,INTERNACIONAL,18577
1984-06-01,LLEGAN,INTERNACIONAL,19481
1984-07-01,LLEGAN,INTERNACIONAL,28398
1984-08-01,LLEGAN,INTERNACIONAL,25291
1984-09-01,LLEGAN,INTERNACIONAL,27300
1984-10-01,LLEGAN,INTERNACIONAL,23374
1984-11-01,LLEGAN,INTERNACIONAL,23265
1984-12-01,LLEGAN,INTERNACIONAL,28257.34
1985-01-01,LLEGAN,INTERNACIONAL,24357
1985-02-01,LLEGAN,INTERNACIONAL,23893
1985-03-01,LLEGAN,INTERNACIONAL,21908.39
1985-04-01,LLEGAN,INTERNACIONAL,16773
1985-05-01,LLEGAN,INTERNACIONAL,17002
1985-06-01,LLEGAN,INTERNACIONAL,18055
1985-07-01,LLEGAN,INTERNACIONAL,25558
1985-08-01,LLEGAN,INTERNACIONAL,22127
1985-09-01,LLEGAN,INTERNACIONAL,20719.84
1985-10-01,LLEGAN,INTERNACIONAL,23672
1985-11-01,LLEGAN,INTERNACIONAL,25380
1985-12-01,LLEGAN,INTERNACIONAL,31551.79
1986-01-01,LLEGAN,INTERNACIONAL,26737.01
1986-02-01,LLEGAN,INTERNACIONAL,23977.58
1986-03-01,LLEGAN,INTERNACIONAL,25327.59
1986-04-01,LLEGAN,INTERNACIONAL,19204.44
1986-05-01,LLEGAN,INTERNACIONAL,20472
1986-06-01,LLEGAN,INTERNACIONAL,22059
1986-07-01,LLEGAN,INTERNACIONAL,29519
1986-08-01,LLEGAN,INTERNACIONAL,28003
1986-09-01,LLEGAN,INTERNACIONAL,27136
1986-10-01,LLEGAN,INTERNACIONAL,24180.18
1986-11-01,LLEGAN,INTERNACIONAL,27494.01
1986-12-01,LLEGAN,INTERNACIONAL,34527.05
1987-01-01,LLEGAN,INTERNACIONAL,33210
1987-02-01,LLEGAN,INTERNACIONAL,27868.64
1987-03-01,LLEGAN,INTERNACIONAL,28026.3
1987-04-01,LLEGAN,INTERNACIONAL,25142
