Fecha,Direccion,Tipo,Pasajeros
1984-01-01,LLEGAN,NACIONAL,27002.3
1984-02-01,LLEGAN,NACIONAL,24870
1984-03-01,LLEGAN,NACIONAL,24212
1984-04-01,LLEGAN,NACIONAL,18499.5
1984-05-01,LLEGAN,NACIONAL,18773
1984-06-01,LLEGAN,NACIONAL,14635.64
1984-07-01,LLEGAN,NACIONAL,22784.04
1984-08-01,LLEGAN,NACIONAL,22161
1984-09-01,LLEGAN,NACIONAL,19050
1984-10-01,LLEGAN,NACIONAL,15558.38
1984-11-01,LLEGAN,NACIONAL,21184
1984-12-01,LLEGAN,NACIONAL,25517
1985-01-01,LLEGAN,NACIONAL,27994
1985-02-01,LLEGAN,NACIONAL,24250
1985-03-01,LLEGAN,NACIONAL,24597.09
1985-04-01,LLEGAN,NACIONAL,20125
1985-05-01,LLEGAN,NACIONAL,20770
1985-06-01,LLEGAN,NACIONAL,18320.14
1985-07-01,LLEGAN,NACIONAL,23234.4
1985-08-01,LLEGAN,NACIONAL,23394
1985-09-01,LLEGAN,NACIONAL,21921
1985-10-01,LLEGAN,NACIONAL,24647
1985-11-01,LLEGAN,NACIONAL,20403.21
1985-12-01,LLEGAN,NACIONAL,26630
1986-01-01,LLEGAN,NACIONAL,27660.03
1986-02-01,LLEGAN,NACIONAL,21835.54
1986-03-01,LLEGAN,NACIONAL,22600.75
1986-04-01,LLEGAN,NACIONAL,21935
1986-05-01,LLEGAN,NACIONAL,20301
1986-06-01,LLEGAN,NACIONAL,20774
1986-07-01,LLEGAN,NACIONAL,24316
1986-08-01,LLEGAN,NACIONAL,20286.53
1986-09-01,LLEGAN,NACIONAL,20351
1986-10-01,LLEGAN,NACIONAL,24241
1986-11-01,LLEGAN,NACIONAL,25641
1986-12-01,LLEGAN,NACIONAL,28680.09
1987-01-01,LLEGAN,NACIONAL,33811
1987-02-01,LLEGAN,NACIONAL,25155.43
1987-03-01,LLEGAN,NACIONAL,27665.17
1987-04-01,LLEGAN,NACIONAL,23233.36
1987-05-01,LLEGAN,NACIONAL,22939
1987-06-01,LLEGAN,NACIONAL,21789
1987-07-01,LLEGAN,NACIONAL,24933.72
1987-08-01,LLEGAN,NACIONAL,27162.27
1987-09-01,LLEGAN,NACIONAL,25730
1987-10-01,LLEGAN,NACIONAL,26715.09
1987-11-01,LLEGAN,NACIONAL,28144.07
1987-12-01,LLEGAN,NACIONAL,30844.53
1988-01-01,LLEGAN,NACIONAL,35632
1988-02-01,LLEGAN,NACIONAL,30490
1988-03-01,LLEGAN,NACIONAL,32288
1988-04-01,LLEGAN,NACIONAL,26860
1988-05-01,LLEGAN,NACIONAL,26113.35
1988-06-01,LLEGAN,NACIONAL,25909
1988-07-01,LLEGAN,NACIONAL,32063.31
1988-08-01,LLEGAN,NACIONAL,29647.9
1988-09-01,LLEGAN,NACIONAL,30039
1988-10-01,LLEGAN,NACIONAL,23213.35
1988-11-01,LLEGAN,NACIONAL,34010
1988-12-01,LLEGAN,NACIONAL,34989.24
1989-01-01,LLEGAN,NACIONAL,37766.75
1989-02-01,LLEGAN,NACIONAL,33239.59
1989-03-01,LLEGAN,NACIONAL,36107
1989-04-01,LLEGAN,NACIONAL,28995.57
1989-05-01,LLEGAN,NACIONAL,20624.08
1989-06-01,LLEGAN,NACIONAL,28847
1989-07-01,LLEGAN,NACIONAL,30214.9
1989-08-01,LLEGAN,NACIONAL,32194.32
1989-09-01,LLEGAN,NACIONAL,27372.74
1989-10-01,LLEGAN,NACIONAL,34012
1989-11-01,LLEGAN,NACIONAL,34230.4
1989-12-01,LLEGAN,NACIONAL,34171.12
1990-01-01,LLEGAN,NACIONAL,42368.17
1990-02-01,LLEGAN,NACIONAL,36129.46
1990-03-01,LLEGAN,NACIONAL,39607.13
1990-04-01,LLEGAN,NACIONAL,33582
1990-05-01,LLEGAN,NACIONAL,29265.28
1990-06-01,LLEGAN,NACIONAL,28894
1990-07-01,LLEGAN,NACIONAL,32051.48
1990-08-01,LLEGAN,NACIONAL,31846.88
1990-09-01,LLEGAN,NACIONAL,29722.55
1990-10-01,LLEGAN,NACIONAL,36235
1990-11-01,LLEGAN,NACIONAL,34127.13
1990-12-01,LLEGAN,NACIONAL,37477
1991-01-01,LLEGAN,NACIONAL,36618.25
1991-02-01,LLEGAN,NACIONAL,33588
1991-03-01,LLEGAN,NACIONAL,30893.86
1991-04-01,LLEGAN,NACIONAL,30480
1991-05-01,LLEGAN,NACIONAL,27626.01
