Fecha,Direccion,Tipo,Pasajeros
1984-01-01,SALEN,INTERNACIONAL,31281
1984-02-01,SALEN,INTERNACIONAL,23045.12
1984-03-01,SALEN,INTERNACIONAL,24916
1984-04-01,SALEN,INTERNACIONAL,21563
1984-05-01,SALEN,INTERNACIONAL,20801
1984-06-01,SALEN,INTERNACIONAL,19461
1984-07-01,SALEN,INTERNACIONAL,25988.65
1984-08-01,SALEN,INTERNACIONAL,24413.06
1984-09-01,SALEN,INTERNACIONAL,26622.35
1984-10-01,SALEN,INTERNACIONAL,21118
1984-11-01,SALEN,INTERNACIONAL,18607.59
1984-12-01,SALEN,INTERNACIONAL,21751
1985-01-01,SALEN,INTERNACIONAL,31387.01
1985-02-01,SALEN,INTERNACIONAL,24297
1985-03-01,SALEN,INTERNACIONAL,24450
1985-04-01,SALEN,INTERNACIONAL,20209
1985-05-01,SALEN,INTERNACIONAL,18873.49
1985-06-01,SALEN,INTERNACIONAL,18795
1985-07-01,SALEN,INTERNACIONAL,25426
1985-08-01,SALEN,INTERNACIONAL,22890
1985-09-01,SALEN,INTERNACIONAL,21382.57
1985-10-01,SALEN,INTERNACIONAL,21359
1985-11-01,SALEN,INTERNACIONAL,22267
1985-12-01,SALEN,INTERNACIONAL,23608
1986-01-01,SALEN,INTERNACIONAL,36137
1986-02-01,SALEN,INTERNACIONAL,28145
1986-03-01,SALEN,INTERNACIONAL,28212
1986-04-01,SALEN,INTERNACIONAL,24194
1986-05-01,SALEN,INTERNACIONAL,21464.94
1986-06-01,SALEN,INTERNACIONAL,20847
1986-07-01,SALEN,INTERNACIONAL,26240.05
1986-08-01,SALEN,INTERNACIONAL,27560.01
1986-09-01,SALEN,INTERNACIONAL,28540
1986-10-01,SALEN,INTERNACIONAL,23517
1986-11-01,SALEN,INTERNACIONAL,24967
1986-12-01,SALEN,INTERNACIONAL,26028.4
1987-01-01,SALEN,INTERNACIONAL,39965.65
1987-02-01,SALEN,INTERNACIONAL,31783.86
1987-03-01,SALEN,INTERNACIONAL,32632
1987-04-01,SALEN,INTERNACIONAL,28982
1987-05-01,SALEN,INTERNACIONAL,23933.42
1987-06-01,SALEN,INTERNACIONAL,23791.18
1987-07-01,SALEN,INTERNACIONAL,33952
1987-08-01,SALEN,INTERNACIONAL,34306
1987-09-01,SALEN,INTERNACIONAL,29740.38
1987-10-01,SALEN,INTERNACIONAL,29164.2
1987-11-01,SALEN,INTERNACIONAL,28315.27
1987-12-01,SALEN,INTERNACIONAL,28308
1988-01-01,SALEN,INTERNACIONAL,41057.01
1988-02-01,SALEN,INTERNACIONAL,36820.81
1988-03-01,SALEN,INTERNACIONAL,38761.3
1988-04-01,SALEN,INTERNACIONAL,34203
1988-05-01,SALEN,INTERNACIONAL,32225.99
1988-06-01,SALEN,INTERNACIONAL,36368
1988-07-01,SALEN,INTERNACIONAL,38767
1988-08-01,SALEN,INTERNACIONAL,32568.57
1988-09-01,SALEN,INTERNACIONAL,35618
1988-10-01,SALEN,INTERNACIONAL,32864
1988-11-01,SALEN,INTERNACIONAL,33210
1988-12-01,SALEN,INTERNACIONAL,33435
1989-01-01,SALEN,INTERNACIONAL,54343
1989-02-01,SALEN,INTERNACIONAL,43174.08
1989-03-01,SALEN,INTERNACIONAL,40810.13
1989-04-01,SALEN,INTERNACIONAL,37473
1989-05-01,SALEN,INTERNACIONAL,35072
1989-06-01,SALEN,INTERNACIONAL,34375
1989-07-01,SALEN,INTERNACIONAL,39797.27
1989-08-01,SALEN,INTERNACIONAL,40908
1989-09-01,SALEN,INTERNACIONAL,38198.89
1989-10-01,SALEN,INTERNACIONAL,36503
1989-11-01,SALEN,INTERNACIONAL,31901
1989-12-01,SALEN,INTERNACIONAL,34517
1990-01-01,SALEN,INTERNACIONAL,48859.3
1990-02-01,SALEN,INTERNACIONAL,40687.31
1990-03-01,SALEN,INTERNACIONAL,45469
1990-04-01,SALEN,INTERNACIONAL,36062.04
1990-05-01,SALEN,INTERNACIONAL,35472.71
1990-06-01,SALEN,INTERNACIONAL,32505.67
1990-07-01,SALEN,INTERNACIONAL,38452.28
1990-08-01,SALEN,INTERNACIONAL,35610.42
1990-09-01,SALEN,INTERNACIONAL,47808
1990-10-01,SALEN,INTERNACIONAL,41223
1990-11-01,SALEN,INTERNACIONAL,44251
1990-12-01,SALEN,INTERNACIONAL,44832
1991-01-01,SALEN,INTERNACIONAL,66965
1991-02-01,SALEN,INTERNACIONAL,51811.32
1991-03-01,SALEN,INTERNACIONAL,48558.62
1991-04-01,SALEN,INTERNACIONAL,42529.54
1991-05-01,SALEN,INTERNACIONAL,45887
1991-06-01,SALEN,INTERNACIONAL,37155.34
1991-07-01,SALEN,INTERNACIONAL,54933
1991-08-01,SALEN,INTERNACIONAL,46342.5
1991-09-01,SALEN,INTERNACIONAL,53614.71
1991-10-01,SALEN,INTERNACIONAL,49397
1991-11-01,SALEN,INTERNACIONAL,50875
1991-12-01,SALEN,INTERNACIONAL,46356.92
1992-01-01,SALEN,INTERNACIONAL,66280.37
1992-02-01,SALEN,INTERNACIONAL,59245
1992-03-01,SALEN,INTERNACIONAL,52328.64
1992-04-01,SALEN,INTERNACIONAL,49137.74
1992-05-01,SALEN,INTERNACIONAL,52549
1992-06-01,SALEN,INTERNACIONAL,43570
1992-07-01,SALEN,INTERNACIONAL,57248.1
1992-08-01,SALEN,INTERNACIONAL,46534.69
1992-09-01,SALEN,INTERNACIONAL,58110.17
1992-10-01,SALEN,INTERNACIONAL,52522
1992-11-01,SALEN,INTERNACIONAL,47501.29
1992-12-01,SALEN,INTERNACIONAL,50796
1993-01-01,SALEN,INTERNACIONAL,81063.4
1993-02-01,SALEN,INTERNACIONAL,69034.05
1993-03-01,SALEN,INTERNACIONAL,58319.21
1993-04-01,SALEN,INTERNACIONAL,55930.28
1993-05-01,SALEN,INTERNACIONAL,53793.63
1993-06-01,SALEN,INTERNACIONAL,48916.29
1993-07-01,SALEN,INTERNACIONAL,70233
1993-08-01,SALEN,INTERNACIONAL,59098.55
1993-09-01,SALEN,INTERNACIONAL,65162
1993-10-01,SALEN,INTERNACIONAL,60185.66
1993-11-01,SALEN,INTERNACIONAL,62666.22
1993-12-01,SALEN,INTERNACIONAL,59263.48
1994-01-01,SALEN,INTERNACIONAL,96083.9
1994-02-01,SALEN,INTERNACIONAL,77532.42
1994-03-01,SALEN,INTERNACIONAL,75233
1994-04-01,SALEN,INTERNACIONAL,61979.84
1994-05-01,SALEN,INTERNACIONAL,64626
1994-06-01,SALEN,INTERNACIONAL,61776
1994-07-01,SALEN,INTERNACIONAL,77399.25
1994-08-01,SALEN,INTERNACIONAL,75935
1994-09-01,SALEN,INTERNACIONAL,75665.23
1994-10-01,SALEN,INTERNACIONAL,69983.93
1994-11-01,SALEN,INTERNACIONAL,70554.51
1994-12-01,SALEN,INTERNACIONAL,66006.09
1995-01-01,SALEN,INTERNACIONAL,117354.88
1995-02-01,SALEN,INTERNACIONAL,98729.93
1995-03-01,SALEN,INTERNACIONAL,82196.97
1995-04-01,SALEN,INTERNACIONAL,77211.17
1995-05-01,SALEN,INTERNACIONAL,72760.19
1995-06-01,SALEN,INTERNACIONAL,74284.07
1995-07-01,SALEN,INTERNACIONAL,89431.74
1995-08-01,SALEN,INTERNACIONAL,88777.11
1995-09-01,SALEN,INTERNACIONAL,98377.03
1995-10-01,SALEN,INTERNACIONAL,93118
1995-11-01,SALEN,INTERNACIONAL,74046.75
1995-12-01,SALEN,INTERNACIONAL,86804.23
1996-01-01,SALEN,INTERNACIONAL,127356.06
1996-02-01,SALEN,INTERNACIONAL,119840
1996-03-01,SALEN,INTERNACIONAL,93208.46
1996-04-01,SALEN,INTERNACIONAL,78649.53
1996-05-01,SALEN,INTERNACIONAL,82124.07
1996-06-01,SALEN,INTERNACIONAL,77605.95
