Fecha,Direccion,Tipo,Pasajeros
1984-01-01,SALEN,NACIONAL,26297
1984-02-01,SALEN,NACIONAL,25389
1984-03-01,SALEN,NACIONAL,24846
1984-04-01,SALEN,NACIONAL,22956
1984-05-01,SALEN,NACIONAL,17195.53
1984-06-01,SALEN,NACIONAL,17987
1984-07-01,SALEN,NACIONAL,24095
1984-08-01,SALEN,NACIONAL,18179.5
1984-09-01,SALEN,NACIONAL,19677
1984-10-01,SALEN,NACIONAL,21510
1984-11-01,SALEN,NACIONAL,21475
1984-12-01,SALEN,NACIONAL,22541.24
1985-01-01,SALEN,NACIONAL,26669
1985-02-01,SALEN,NACIONAL,17665.2
1985-03-01,SALEN,NACIONAL,24772.76
1985-04-01,SALEN,NACIONAL,19865
1985-05-01,SALEN,NACIONAL,20196
1985-06-01,SALEN,NACIONAL,19266
1985-07-01,SALEN,NACIONAL,23337.12
1985-08-01,SALEN,NACIONAL,22074
1985-09-01,SALEN,NACIONAL,20992
1985-10-01,SALEN,NACIONAL,22454.87
1985-11-01,SALEN,NACIONAL,24172
1985-12-01,SALEN,NACIONAL,22284.67
1986-01-01,SALEN,NACIONAL,26873
1986-02-01,SALEN,NACIONAL,20313.47
1986-03-01,SALEN,NACIONAL,25062
1986-04-01,SALEN,NACIONAL,21252
1986-05-01,SALEN,NACIONAL,19166
1986-06-01,SALEN,NACIONAL,20668
1986-07-01,SALEN,NACIONAL,22817.01
1986-08-01,SALEN,NACIONAL,16782.34
1986-09-01,SALEN,NACIONAL,20271
1986-10-01,SALEN,NACIONAL,21481.82
1986-11-01,SALEN,NACIONAL,23473.85
1986-12-01,SALEN,NACIONAL,25767.64
1987-01-01,SALEN,NACIONAL,25764.27
1987-02-01,SALEN,NACIONAL,27006
1987-03-01,SALEN,NACIONAL,25564.42
1987-04-01,SALEN,NACIONAL,22513
1987-05-01,SALEN,NACIONAL,21965
1987-06-01,SALEN,NACIONAL,21079
1987-07-01,SALEN,NACIONAL,27754
1987-08-01,SALEN,NACIONAL,26076
1987-09-01,SALEN,NACIONAL,23342.1
1987-10-01,SALEN,NACIONAL,25617
1987-11-01,SALEN,NACIONAL,27116.27
1987-12-01,SALEN,NACIONAL,30322
1988-01-01,SALEN,NACIONAL,31847.18
1988-02-01,SALEN,NACIONAL,26662.88
1988-03-01,SALEN,NACIONAL,29815.1
1988-04-01,SALEN,NACIONAL,24942.07
1988-05-01,SALEN,NACIONAL,24986.22
1988-06-01,SALEN,NACIONAL,24198
1988-07-01,SALEN,NACIONAL,31583
1988-08-01,SALEN,NACIONAL,30860
1988-09-01,SALEN,NACIONAL,22021.99
1988-10-01,SALEN,NACIONAL,26710
1988-11-01,SALEN,NACIONAL,29152.64
1988-12-01,SALEN,NACIONAL,33508.74
1989-01-01,SALEN,NACIONAL,39500.01
1989-02-01,SALEN,NACIONAL,34625
1989-03-01,SALEN,NACIONAL,35026.27
1989-04-01,SALEN,NACIONAL,28328.61
1989-05-01,SALEN,NACIONAL,23798.15
1989-06-01,SALEN,NACIONAL,27743
1989-07-01,SALEN,NACIONAL,31295.26
1989-08-01,SALEN,NACIONAL,31851
1989-09-01,SALEN,NACIONAL,28827.22
1989-10-01,SALEN,NACIONAL,33004.09
1989-11-01,SALEN,NACIONAL,35645.62
1989-12-01,SALEN,NACIONAL,32027.02
1990-01-01,SALEN,NACIONAL,42671
1990-02-01,SALEN,NACIONAL,34050.27
1990-03-01,SALEN,NACIONAL,38481
1990-04-01,SALEN,NACIONAL,33524
1990-05-01,SALEN,NACIONAL,31716
1990-06-01,SALEN,NACIONAL,25155.92
1990-07-01,SALEN,NACIONAL,32210.39
1990-08-01,SALEN,NACIONAL,32112.3
1990-09-01,SALEN,NACIONAL,27973.82
1990-10-01,SALEN,NACIONAL,29314.61
1990-11-01,SALEN,NACIONAL,34043.78
1990-12-01,SALEN,NACIONAL,32610.29
1991-01-01,SALEN,NACIONAL,36701.18
1991-02-01,SALEN,NACIONAL,29269.41
1991-03-01,SALEN,NACIONAL,34558
1991-04-01,SALEN,NACIONAL,29418
1991-05-01,SALEN,NACIONAL,26460
1991-06-01,SALEN,NACIONAL,26516.7
1991-07-01,SALEN,NACIONAL,36253.7
1991-08-01,SALEN,NACIONAL,36216.66
1991-09-01,SALEN,NACIONAL,32714.11
1991-10-01,SALEN,NACIONAL,35257.58
1991-11-01,SALEN,NACIONAL,46171
1991-12-01,SALEN,NACIONAL,42575.88
1992-01-01,SALEN,NACIONAL,54714
1992-02-01,SALEN,NACIONAL,39802.36
1992-03-01,SALEN,NACIONAL,41128.65
1992-04-01,SALEN,NACIONAL,40715
1992-05-01,SALEN,NACIONAL,39392.02
1992-06-01,SALEN,NACIONAL,33125.49
1992-07-01,SALEN,NACIONAL,47045
1992-08-01,SALEN,NACIONAL,46913
1992-09-01,SALEN,NACIONAL,44186.8
1992-10-01,SALEN,NACIONAL,47583.58
1992-11-01,SALEN,NACIONAL,51280.66
1992-12-01,SALEN,NACIONAL,51382.06
1993-01-01,SALEN,NACIONAL,58984.06
1993-02-01,SALEN,NACIONAL,53478.53
1993-03-01,SALEN,NACIONAL,56075.91
1993-04-01,SALEN,NACIONAL,51233.17
1993-05-01,SALEN,NACIONAL,46875.93
1993-06-01,SALEN,NACIONAL,47358.12
1993-07-01,SALEN,NACIONAL,59598.94
1993-08-01,SALEN,NACIONAL,49344.59
1993-09-01,SALEN,NACIONAL,53917.52
1993-10-01,SALEN,NACIONAL,62649.95
1993-11-01,SALEN,NACIONAL,63655.24
1993-12-01,SALEN,NACIONAL,69396.57
1994-01-01,SALEN,NACIONAL,79204.69
1994-02-01,SALEN,NACIONAL,77192.14
1994-03-01,SALEN,NACIONAL,77501.9
